ONTOLOGY	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment	log2err
MF	GO:1990459	transferrin receptor binding	12	0.611168001620396	1.51475254130653	0.0437987164239814	0.479489748741175	0.479489748741175	8856	tags=42%, list=20%, signal=33%	ENSG00000243449/ENSG00000091513/ENSG00000168509/ENSG00000010704/ENSG00000104365	0.321775918075361
BP	GO:0010324	membrane invagination	61	0.414385642995605	1.51458633892261	0.00972663204258509	0.225684881810315	0.225684881810315	10754	tags=33%, list=25%, signal=25%	ENSG00000150337/ENSG00000160255/ENSG00000095970/ENSG00000145850/ENSG00000177119/ENSG00000204472/ENSG00000038945/ENSG00000164171/ENSG00000169896/ENSG00000168461/ENSG00000125730/ENSG00000167851/ENSG00000137801/ENSG00000158156/ENSG00000148180/ENSG00000166851/ENSG00000173548/ENSG00000135218/ENSG00000113249/ENSG00000164251	0.380730400722792
CC	GO:0043596	nuclear replication fork	44	0.436828014696527	1.51353326113118	0.0242620611583074	0.344661559277792	0.344661559277792	12340	tags=32%, list=28%, signal=23%	ENSG00000014138/ENSG00000111602/ENSG00000112118/ENSG00000106628/ENSG00000204086/ENSG00000146263/ENSG00000065328/ENSG00000075131/ENSG00000127311/ENSG00000136936/ENSG00000077514/ENSG00000132646/ENSG00000101868/ENSG00000146143	0.352487857583619
BP	GO:0046653	tetrahydrofolate metabolic process	18	0.532401676622568	1.51339765814245	0.0420376111789721	0.463245601817881	0.463245601817881	13916	tags=50%, list=32%, signal=34%	ENSG00000065911/ENSG00000176974/ENSG00000136371/ENSG00000176890/ENSG00000163738/ENSG00000076351/ENSG00000144908/ENSG00000116984/ENSG00000120254	0.321775918075361
CC	GO:0098688	parallel fiber to Purkinje cell synapse	24	-0.516202743119725	-1.51234132862842	0.0459701927836202	0.496109845376717	0.496109845376717	15256	tags=62%, list=35%, signal=41%	ENSG00000137766/ENSG00000066032/ENSG00000067842/ENSG00000205090/ENSG00000172137/ENSG00000069966/ENSG00000215045/ENSG00000221823/ENSG00000118596/ENSG00000173898/ENSG00000102924/ENSG00000125675/ENSG00000136854/ENSG00000143502/ENSG00000162989	0.321775918075361
BP	GO:0002711	positive regulation of T cell mediated immunity	65	0.408684558524968	1.51044814103964	0.024065933318725	0.343639591527666	0.343639591527666	11814	tags=42%, list=27%, signal=30%	ENSG00000143184/ENSG00000160862/ENSG00000115594/ENSG00000113520/ENSG00000115604/ENSG00000196843/ENSG00000110944/ENSG00000204287/ENSG00000196352/ENSG00000125538/ENSG00000163251/ENSG00000162594/ENSG00000204592/ENSG00000168040/ENSG00000204642/ENSG00000162711/ENSG00000158485/ENSG00000126804/ENSG00000196126/ENSG00000150782/ENSG00000234745/ENSG00000117586/ENSG00000141574/ENSG00000166710/ENSG00000168811/ENSG00000204632/ENSG00000131019	0.352487857583619
MF	GO:0022840	leak channel activity	17	-0.558288319361495	-1.51025601599921	0.0489236790606654	0.519262377628638	0.519262377628638	13871	tags=53%, list=32%, signal=36%	ENSG00000102452/ENSG00000124249/ENSG00000173338/ENSG00000184261/ENSG00000135750/ENSG00000099337/ENSG00000171303/ENSG00000112077/ENSG00000124780	0.287857117255149
MF	GO:0022842	narrow pore channel activity	17	-0.558288319361495	-1.51025601599921	0.0489236790606654	0.519262377628638	0.519262377628638	13871	tags=53%, list=32%, signal=36%	ENSG00000102452/ENSG00000124249/ENSG00000173338/ENSG00000184261/ENSG00000135750/ENSG00000099337/ENSG00000171303/ENSG00000112077/ENSG00000124780	0.287857117255149
BP	GO:0008063	Toll signaling pathway	13	0.601732281441687	1.50983055800688	0.0339673814365175	0.408745669268209	0.408745669268209	9627	tags=62%, list=22%, signal=48%	ENSG00000172936/ENSG00000134070/ENSG00000198001/ENSG00000187867/ENSG00000090376/ENSG00000197329/ENSG00000139946/ENSG00000184216	0.321775918075361
BP	GO:0071621	granulocyte chemotaxis	100	0.376404132488287	1.50937140951656	0.00715032170877915	0.190819927263362	0.190819927263362	8600	tags=33%, list=20%, signal=27%	ENSG00000108691/ENSG00000143184/ENSG00000123610/ENSG00000173432/ENSG00000128340/ENSG00000163220/ENSG00000078401/ENSG00000160255/ENSG00000108700/ENSG00000127129/ENSG00000120337/ENSG00000163464/ENSG00000143546/ENSG00000184371/ENSG00000110944/ENSG00000127507/ENSG00000111199/ENSG00000169245/ENSG00000171860/ENSG00000019582/ENSG00000113296/ENSG00000169429/ENSG00000163735/ENSG00000163702/ENSG00000135046/ENSG00000108688/ENSG00000131142/ENSG00000092969/ENSG00000138379/ENSG00000166794/ENSG00000197405/ENSG00000182578/ENSG00000160593	0.407017918923954
